Sensor_ID,Row,Col,Press_Count,Max_Pressure,Avg_Pressure,Avg_Resistance_Ohms,Min_Resistance_Ohms,Max_Resistance_Ohms,Baseline_Resistance_Ohms
930,19,18,22,0.7481596328599434,0.5004667615928384,20322.538636363635,16386.33,30958.25,36579.68
1185,24,33,21,0.8312470713371867,0.5200023708060567,24256.309523809523,16386.33,54378.94,92531.65
2079,43,15,24,0.4143273809381167,0.2520871736176847,19732.1675,16403.5,22721.83,28012.8
901,18,37,21,0.6149692663415012,0.4532394619806857,17999.814285714285,16403.5,22827.54,28699.64
1652,34,20,52,0.4467657430022788,0.28830662880625274,17883.50403846154,16403.5,19111.26,24704.93
940,19,28,23,0.7332837603488116,0.49040757815474456,21308.787391304348,16420.69,33036.22,38120.0
1237,25,37,35,0.8035763578027422,0.46633052091902294,93543.99600000001,16420.69,257587.41,268514.44
1589,33,5,20,0.3347680421021224,0.27162926920852243,17111.4315,16420.69,17834.04,22880.64
718,14,46,62,0.5598365926990247,0.25350774946042937,24321.13806451613,16420.69,30794.08,36686.43
719,14,47,62,0.5598365926990247,0.25350774946042937,24321.13806451613,16420.69,30794.08,36686.43
243,5,3,25,0.44890551931377487,0.26740502127417,18586.0868,16420.69,20037.0,25064.0
2099,43,35,27,0.5668047820911574,0.271319669190666,21504.693703703706,16420.69,26026.81,31458.76
1986,41,18,49,0.5596125502516548,0.30987105919559665,19638.577755102044,16437.9,23421.27,28480.09
1653,34,21,53,0.4618691676738556,0.2835462218714213,18247.343207547172,16437.9,20103.78,25215.81
1971,41,3,49,0.5570838551507505,0.3435506640093135,18875.08469387755,16437.9,23284.46,28335.09
235,4,43,43,0.7155130841049929,0.2684175007271835,26158.777441860464,16455.14,31628.31,36632.99
390,8,6,68,0.6127341753789582,0.34117837538853724,18925.059852941173,16455.14,23202.91,29108.72
942,19,30,24,0.738010714407508,0.476954719817009,22005.267499999998,16455.14,33588.98,38636.91
289,6,1,78,0.680176178803873,0.3682131333453301,20633.61128205128,16455.14,28480.09,34252.03
1972,41,4,52,0.5848299277719053,0.3525163027290733,19225.898076923077,16455.14,24237.42,29449.88
891,18,27,21,0.5898657427989964,0.45761699596520733,17721.225714285712,16455.14,22987.37,28191.18
391,8,7,68,0.5823068122206702,0.34089185154789325,18587.003823529412,16455.14,22827.54,28335.09
281,5,41,107,0.7802899395129412,0.37516483393399414,24503.682803738317,16455.14,36473.41,42455.23
1792,37,16,93,0.5501310961955242,0.3597486258062328,19828.666344086025,16472.4,24794.01,29914.1
1892,39,20,55,0.5070846703970072,0.29537878260819905,18893.833636363637,16489.69,21358.47,26742.69
398,8,14,66,0.5124366916926593,0.30182323353003226,18061.50681818182,16593.85,20648.86,25804.82
1825,38,1,55,0.6321621908271525,0.33361160964467074,20794.062181818186,16593.85,26742.69,31971.61
1432,29,40,89,0.8252896448398293,0.2231474570052411,38768.82573033708,16593.85,54582.74,67597.96
308,6,20,80,0.6647805504276816,0.3559441293082659,20902.654375000002,16611.29,29146.33,34156.08
1729,36,1,13,0.43403740719513245,0.34522763566110753,17527.394615384612,16628.76,19132.14,24853.65
1984,41,16,56,0.5891458510195811,0.3285036784351245,20063.768571428573,16628.76,25185.35,30189.96
1893,39,21,55,0.5061084860616497,0.28643042462655766,19246.398,16628.76,21651.57,27077.54
1822,37,46,89,0.6099691621919717,0.38974017135366995,24219.95595505618,16628.76,38348.37,43983.32
1681,35,1,68,0.6890468362836348,0.3864994507164782,20405.593970588234,16628.76,26643.4,35034.87
1778,37,2,103,0.5655383275527603,0.36288577796897736,20764.696601941752,16628.76,26219.28,31332.49
1823,37,47,89,0.6099691621919717,0.38974017135366995,24219.95595505618,16628.76,38348.37,43983.32
931,19,19,22,0.6949512132978343,0.481874112916504,21087.344545454544,16628.76,31713.61,38006.61
231,4,39,34,0.7859671941673991,0.36226394649290994,26150.590294117646,16628.76,37781.43,42794.9
311,6,23,81,0.678312125679537,0.35860152157495623,21312.555802469135,16646.24,29297.52,35285.2
1524,31,36,42,0.4157557794268743,0.2617996820392604,19515.298333333336,16663.75,22933.92,27977.33
893,18,29,21,0.5696413208872758,0.43533577030942056,17950.257619047614,16663.75,22616.81,27836.08
1679,34,47,68,0.49666862768531916,0.33728472803261855,20921.432647058828,16663.75,27977.33,33635.68
1678,34,46,68,0.49666862768531916,0.33728472803261855,20921.432647058828,16663.75,27977.33,33635.68
1982,41,14,56,0.6029445545469669,0.3328078554427922,20300.098928571428,16681.28,25647.93,30958.25
764,15,44,93,0.677774612594662,0.2527835754307887,31612.531505376344,16681.28,47001.92,52029.78
2103,43,39,75,0.6153991808420668,0.18282583415242434,26739.218266666667,16681.28,30189.96,35285.2
402,8,18,73,0.5362140566956538,0.32458823740380605,19385.871369863013,16681.28,23810.38,29526.5
1588,33,4,23,0.3130382112367953,0.2697759675707708,17127.64347826087,16698.84,17720.0,22827.54
1768,36,40,85,0.6887162180056198,0.36894339855952185,24668.93211764706,16698.84,37781.43,46216.13
1788,37,12,79,0.5095844930730148,0.34910006014394,19209.429493670887,16716.42,23923.21,29146.33
263,5,23,29,0.463454320314104,0.2568480662077258,19370.67724137931,16716.42,21213.94,26219.28
1655,34,23,55,0.4708174308243516,0.31872838854213525,18066.146000000004,16716.42,20928.83,26154.89
2091,43,27,28,0.46375650378407535,0.27187290934977104,20346.479285714286,16734.02,24382.16,29992.53
2069,43,5,10,0.4043803534915478,0.25092028588091336,19032.538999999997,16734.02,20579.65,25647.93
1525,31,37,44,0.43093923040299564,0.24515536596422915,20093.893636363635,16734.02,23257.23,28335.09
1970,41,2,56,0.5950682267912383,0.33468635450939643,20193.867321428574,16734.02,25276.9,30794.08
1760,36,32,77,0.6159910181243858,0.34807386773579246,23356.906363636368,16734.02,34935.51,40380.55
937,19,25,22,0.6873414418128684,0.4512672645043787,21244.866818181818,16769.29,31458.76,36847.48
2095,43,31,24,0.5308083046724921,0.283890613562495,21033.227083333335,16769.29,25773.33,31501.02
1790,37,14,102,0.57212629711167,0.3583682093702449,20722.47617647059,16769.29,26283.89,31501.02
2078,43,14,23,0.3899892908775247,0.24346217862245853,19905.07,16769.29,22880.64,27977.33
400,8,16,71,0.5306472496752233,0.32045306145727026,19135.77309859155,16769.29,23094.79,28773.39
1987,41,19,56,0.6102141591401736,0.32302117945342385,20965.811964285713,16822.37,26775.9,31971.61
939,19,27,22,0.6917271794241339,0.47589731598372553,21039.33,16822.37,31374.49,37392.4
1480,30,40,92,0.7990665401077538,0.38789564183055325,29770.638152173913,16840.11,51468.98,65446.95
1108,23,4,41,0.6103096433536898,0.3033018221135753,34666.78756097561,16840.11,53378.87,58484.71
389,8,5,68,0.6213763051460753,0.34487560930647293,19008.562499999996,16840.11,23257.23,29449.88
396,8,12,70,0.6252189114677685,0.34105220170326306,18854.196142857145,16840.11,22933.92,28996.3
2093,43,29,23,0.4602504469698441,0.2642456164695182,20371.863478260875,16840.11,23559.21,29297.52
261,5,21,15,0.40305129387835537,0.2911600111706912,18224.747333333336,16840.11,19577.68,24675.34
1844,38,20,53,0.6212261321415117,0.3300178733064598,21005.318490566035,16840.11,27315.59,32364.63
1993,41,25,43,0.5113255695955273,0.2818423236337018,20079.334186046508,16840.11,22987.37,28119.63
1700,35,20,71,0.6834542068737504,0.3807834472908707,20831.6438028169,16840.11,30349.31,35897.47
1624,33,40,88,0.7102127532031015,0.453089561366645,23513.557840909092,16840.11,43487.57,51561.75
388,8,4,68,0.6200081118407827,0.3332847552518627,19162.710147058828,16875.66,23148.76,29297.52
1980,41,12,46,0.5187374473437474,0.3196260641383039,19268.58565217391,16875.66,23148.76,28191.18
1725,35,45,78,0.9104750982425643,0.5674743551700053,29551.07884615385,16875.66,86478.77,126864.97
1748,36,20,12,0.42745192451294367,0.35354409233684486,17629.579166666666,16875.66,18822.0,25215.81
946,19,34,20,0.6599472347641026,0.40618279442039124,21549.222500000003,16875.66,28553.0,35640.36
1772,36,44,100,0.7015506060467191,0.3397545228581783,29875.347400000002,16875.66,49065.75,54176.42
1531,31,43,66,0.47850031567483103,0.22889750268098744,21957.164696969696,16875.66,25710.52,30917.09
405,8,21,74,0.5149494291731948,0.31377519308864266,20051.117297297296,16875.66,24498.84,30550.28
1770,36,42,98,0.9040188745250297,0.5339136846708188,32899.08336734694,16893.47,130148.98,135640.13
1701,35,21,71,0.6829889164006778,0.3728954253136433,21149.877887323943,16893.47,30835.0,36314.91
948,19,36,22,0.7093224161694249,0.49378260230761806,21119.262272727272,16893.47,32765.05,38463.37
397,8,13,70,0.6507351090933744,0.3470392025655328,18962.201428571425,16893.47,22933.92,29526.5
260,5,20,20,0.4039229124456851,0.2634361860038368,18623.8535,16911.3,19751.0,24853.65
241,5,1,19,0.39770794274047233,0.2671347544462002,18411.626842105266,16911.3,19491.78,24675.34
1523,31,35,74,0.4979023463951383,0.22024081293861847,22916.458513513513,16911.3,27145.25,32145.38
1845,38,21,53,0.6240096157798007,0.3221817515781163,21379.420377358485,16911.3,27695.87,32765.05
1799,37,23,111,0.6496984947057646,0.38080642916907276,21761.497837837836,16911.3,28480.09,33682.49
800,16,32,93,0.7194927348000885,0.2057184570062345,31966.84344086022,16911.3,41267.73,47161.71
1749,36,21,12,0.4376162556671589,0.3653457261381177,17677.73,16911.3,19028.03,25679.2
216,4,24,47,0.5927897435412061,0.3208276012414282,22637.758297872337,16929.16,26875.9,31971.61
387,8,3,67,0.6263543604951982,0.33638338061436673,19229.255223880595,16929.16,23586.93,29564.92
226,4,34,40,0.6940496888388932,0.2793518498586761,26324.997249999997,16947.04,32765.05,37781.43
386,8,2,66,0.6165973811123096,0.33122613400830336,19187.649090909094,16947.04,24008.33,29184.02
1234,25,34,33,0.7962960775307568,0.4617748382475764,94399.66939393939,16947.04,272357.75,291051.47
1522,31,34,72,0.48650500225049936,0.2325957014883907,22213.400555555552,16964.95,26090.74,31458.76
222,4,30,45,0.6622362028237103,0.26306591507323307,25830.810888888893,16964.95,30349.31,35845.82
221,4,29,46,0.6458647670445581,0.29247649850951535,24592.71130434783,16964.95,29603.42,34885.99
